CODEASSU,AGE,VILLE,PROFESSION,PRIMTOTALE
1800,54,12,20,170000
2533,64,3,9,84625
3175,68,14,0,87500
2831,60,0,1,105000
4026,69,16,32,89099
4665,70,30,23,56955
2643,47,16,10,26735
4450,27,10,8,112555
4925,39,14,14,36500
3061,27,13,0,85000
4411,45,13,32,80459
2707,44,20,19,88609
4361,43,25,10,91871
4702,53,13,14,91871
3698,36,15,15,38770
3415,62,2,8,84036
4626,48,27,22,17768
4122,59,16,14,23649
4668,43,1,21,16000
4069,37,10,26,41345
3302,62,16,0,143490
3407,52,1,2,84625
2958,66,2,31,17991
4452,45,3,23,122215
3703,34,18,2,20001
4138,31,10,7,265000
4014,32,16,17,6197631
3055,66,11,0,142419
4065,35,7,27,17768
2974,59,19,15,19791
4929,58,13,32,153611
4977,38,17,16,82011
3009,45,17,16,13969
2522,27,0,32,89590
5924,34,26,15,80646
7458,59,16,16,52277
8419,49,24,0,105000
7342,68,18,4,35297
8257,38,27,16,23038753
7169,37,30,32,19713
5826,69,12,2,29089
7397,31,19,25,393801
8235,39,4,25,89590
6396,67,31,19,17814
5558,56,27,14,111284
8436,67,27,1,776192
5427,46,21,27,105000
8484,63,26,23,119348
7382,68,27,32,98144
8492,32,30,32,22038
6454,69,23,30,29487
6803,41,3,5,45609
7970,60,22,1,85416
7475,62,1,9,79727
7476,36,0,16,260217
6943,56,19,20,685380
6681,55,6,28,61000
7333,31,6,13,95422
6188,38,23,22,323921
6469,37,1,12,16104
5528,58,30,1,98145
6804,53,17,1,14000
5088,35,1,21,22458
7449,60,16,8,124065
5412,55,27,5,94956
5682,41,25,5,15143
8068,27,31,4,21000
4981,68,30,0,28425
2911,33,25,8,50000
4041,31,24,4,325998
2601,70,4,24,66496
4791,52,28,22,71294
4420,50,15,12,21482
3601,53,14,17,89448
2546,36,25,3,16450
4465,27,3,4,35664
3862,70,26,17,39678
4570,40,6,1,95702
7926,55,25,17,30000
8428,60,26,7,78111
1574,66,2,32,41307
1046,47,16,26,21912
1866,42,22,17,117459
2010,54,11,2,97759
1578,32,17,17,97759
1101,56,24,21,67035
1061,40,16,4,116072
1322,60,4,24,21183
2386,65,20,16,24501
1344,39,18,27,130007
2349,45,24,27,391325
1000,47,14,21,80347
1630,28,0,16,13670
2415,45,3,16,13670
2018,42,25,1,60000
1463,50,13,8,55905
1328,49,12,24,116242
2428,47,10,8,40000
1252,33,4,9,24355
1377,61,24,16,77776
1003,68,30,4,135000
2494,57,30,14,81437
2125,38,19,17,107270
2123,33,11,26,13670
1390,38,29,16,33966
1686,37,13,2,22972
1617,58,0,30,114701
2288,58,1,9,17085
1723,46,6,0,86500
1631,47,1,17,85065
1016,43,5,7,75204
2319,42,0,27,21860
2119,57,4,17,135000
1515,68,11,23,103850
1410,69,29,17,31983
2416,68,20,17,24501
1315,31,23,16,103497
1582,50,10,31,24730
1688,54,18,23,21281
1117,26,31,32,21780
2323,60,29,12,21886
1329,57,9,23,35000
2268,57,16,12,18224
1412,39,2,26,32170
2117,64,19,13,87316
2172,46,22,14,57328
1932,29,31,1,67195
2055,57,3,17,30000
1083,67,12,8,34070
2339,52,31,27,13670
2189,37,24,27,93500
2310,38,3,8,99167
1916,45,5,1,41065
1201,26,17,14,93095
1846,69,1,26,12496
1264,39,4,17,140000
1674,31,2,27,63417
2357,49,10,23,708828
1785,37,21,23,105020
1991,45,7,23,131187
1737,63,15,16,160602
2441,63,24,28,103551
1490,64,31,0,90757
2343,38,3,4,48699
2490,60,24,16,18000
1842,63,1,0,55484
1889,62,16,1,80347
1602,34,29,0,161414
1501,58,4,1,87315
2248,64,9,5,85488
2279,33,11,32,89285
1416,63,20,16,141495
1017,40,21,9,176445
2204,53,19,19,43956
1929,39,13,23,21482
1009,53,28,4,80000
2374,67,4,23,77179
2488,58,22,5,46786
1796,42,1,23,143191
1987,70,1,4,26936
1531,67,25,23,60837
1713,51,10,15,61989
2178,43,1,10,32898
1683,62,26,23,89143
2165,55,12,4,19774
1606,58,24,16,21183
1543,61,1,8,21482
1545,36,29,8,24501
1582,50,10,31,50765
1584,50,3,15,17384
1544,47,29,12,20073
1194,26,24,20,91871
1236,34,12,21,23271
1513,36,26,3,293652
1168,48,1,17,80432
2424,47,2,14,90186
1199,41,29,23,370733
1290,30,18,28,30000
1291,45,20,32,89590
2016,27,0,12,70203
1585,47,8,8,21482
1653,30,11,16,18214
1197,54,17,8,32013
1065,44,12,9,30350
1451,25,5,4,73297
1143,70,17,3,24432
2084,42,14,21,62357
1198,49,17,15,6941530
1551,53,30,8,812202
1097,56,15,9,80646
1552,63,15,24,89143
1241,26,11,24,21183
1242,57,17,0,665698
1243,49,2,8,48007
1485,25,28,28,89099
1146,25,26,4,32051
1680,58,5,14,21482
1554,66,19,21,66127
1729,52,19,12,28500
1230,40,7,9,107001
1730,64,28,8,45019
1164,32,16,24,41500
1360,32,4,32,18859
1188,41,20,8,32329
1127,46,24,7,80160
1078,54,7,7,21690
1276,47,14,20,77264
1671,59,17,8,151677
1527,25,13,27,26339
1305,28,1,7,18859
1558,66,7,14,36100
1570,37,14,25,20001
1571,60,2,13,62000
1134,55,30,32,104522
1576,64,18,20,95700
1577,46,1,2,77263
1578,32,17,17,324000
1698,36,19,8,21482
1697,37,1,28,25000
1647,32,1,22,75355
1086,34,26,31,22000
1542,51,19,15,133592
1393,58,11,15,468554
1637,66,12,23,88603
1787,70,6,8,80646
1788,45,21,19,129999
1790,27,3,31,-25853
1964,35,23,23,580006
1897,41,8,20,80646
1898,48,4,32,21774
1931,32,20,12,21482
1798,33,5,25,22078
1801,30,31,30,33261
1800,54,12,20,98058
1799,57,25,23,3500800
1806,70,15,16,31192
1750,33,7,32,23271
1753,41,23,8,108658
1754,60,19,5,20778
1761,70,28,22,80013
1877,57,2,32,104500
1780,64,29,1,19791
1882,63,1,2,16450
1833,26,18,12,47865
2869,27,12,8,112794
4145,44,26,25,26638
4352,29,10,8,66496
2650,46,11,18,36969
3710,59,30,22,261077
3635,54,5,27,97500
4368,50,9,9,21482
4177,67,2,21,54997
3304,27,9,18,18000
4362,42,11,9,84034
2832,41,14,1,88000
3269,49,2,0,96605
4123,52,8,12,115000
2766,68,1,8,87914
3268,49,7,12,143705
4805,25,20,15,16700
2829,65,11,13,23649
3144,42,7,2,105000
4086,59,15,20,114069
2792,26,28,16,12795
2909,35,1,0,27324
3603,56,24,9,23649
3722,28,23,10,26638
2676,64,0,8,93130
3723,32,26,23,112794
2836,51,0,32,134669
2719,54,7,25,23097
4709,25,8,0,132816
4770,42,21,1,35297
3848,45,30,6,266000
3849,39,4,8,16515
4201,59,4,16,23649
3781,34,16,0,117500
4891,45,22,3,509471
4584,27,1,15,21482
4867,31,22,6,90082
4841,37,1,32,93924
4821,37,23,3,16317
3817,31,30,4,100330
